names,science score,history score
Kathryn Novak,74,4.9
Maria Cottone,58,4.3
Horace Morefield,56,4.3
Anthony Malcomb,24,2.5
Tina Willis,37,3.6
Justin Esparza,42,3.8
Jonathan Mitchell,69,4.8
Francis Seibold,84,4.5
Thelma Yeates,74,5.6
Dana Kramer,34,2.8
Theodore Sims,46,5.2
John Gonzales,42,3.7
Kathleen Johnson,39,3.9
Richard Taylor,87,4.6
Sharon Garcia,55,4.5
Osvaldo Barraza,77,5.8
Carolyn Smartt,46,5.0
Chanelle Mauricio,40,3.4
Helen Mcatee,57,5.3
Lance Russell,51,3.4
Henry Rogers,54,5.3
Kelly Summers,61,6.1
Ray Juul,60,3.7
Donald Greenberg,36,3.3
Audrey Love,46,6.2
Rodrick Rasch,64,5.7
Christopher Martinez,74,5.9
Alexander Dillon,80,5.0
James Piper,63,4.2
Karen Honea,57,4.2
Stephen Broenneke,37,3.5
James Daniel,58,5.8
Thomas Watson,51,4.3
Katrina Wilcox,80,4.5
Fallon Simson,44,3.8
Scott Mercer,47,4.1
Larry Werts,52,4.6
Anthony Bommarito,68,4.6
Thomas Kent,80,4.6
Pamela Tanguay,46,4.8
Jacqueline Akers,45,4.1
John Schoolfield,61,4.6
Frederick Brunet,32,3.9
Dawn Tamborlane,71,4.5
Virginia Blubaugh,42,4.8
Gary Ely,80,5.8
John Ratcliff,37,4.1
Martha Johnson,43,4.5
Janine Taylor,64,4.9
Jamie Jackson,78,4.7
Kathryn Dale,49,5.5
Agnes Dobbs,65,5.9
Linda Lamp,51,5.7
George Mooney,55,5.3
Lauren Warren,30,3.4
Cheryl Leonard,89,6.0
Julian Burke,53,5.4
Jonathan Calcote,41,3.5
May Kelly,44,4.2
Carol Salinas,48,4.9
Julie Smith,88,5.4
Barbra Wade,63,4.6
Bruce Tang,62,4.4
Bobby Lloyd,40,3.6
Marie Mcgovern,32,3.5
Krystal Ford,58,5.2
Danny Goodyear,88,6.1
Michael Bashaw,74,4.7
Molly House,59,5.4
Joyce Lamarche,41,3.6
Sarah Defazio,52,5.1
Richard Christiansen,51,4.4
Mack Gilliland,47,3.2
Michael Reel,45,3.0
Darlene Owsley,73,4.8
Melissa Flores,63,4.3
Rita Courtney,25,3.8
Harry Berry,81,5.4
Darryl Ruble,77,4.9
Ashley Bradburn,53,4.7
John Ponce,61,5.0
Santiago Luther,69,4.2
Stanley Schroder,53,5.2
Cameron Estrada,68,5.4
Allen Schwarz,50,4.6
Patricia Farias,65,4.1
James Verhaag,54,4.7
Sergio Littlejohn,67,4.0
Jorge Apana,41,3.5
Jeffrey Bostrom,56,4.1
Dustin Henry,32,2.9
Brandon Palmer,90,6.2
Jason Keck,72,5.7
Emory Kelley,50,3.9
Coleen Stough,53,5.0
Mitchell Fisher,64,5.1
Evangelina Hahn,74,5.5
Aubrey Thompson,62,5.0
Zachary Glenn,99,5.7
Phillip Marin,35,3.8
Carmelia Solis,42,4.4
Carolyn Webley,44,3.4
Janet Housel,58,4.2
David Moya,59,4.2
David Haffner,46,4.3
Judith Forker,54,4.6
Virginia Sievers,41,4.1
David Osteen,63,4.6
Marlene Sullivan,77,4.9
Corey Brown,74,4.0
Jose Walker,44,4.4
Fannie Sleeper,56,3.7
Jacqueline Holton,46,5.3
Marie Crate,67,6.2
Doris Arujo,49,4.9
Martha Sova,34,3.5
Diana Costa,36,2.9
Nicole Nesbitt,65,5.9
Jeffery Wiedmann,48,3.6
John Gunter,19,2.0
Charles Kong,73,5.0
Bertha Nelson,28,4.0
Edward Hohn,71,3.9
Arthur Johnson,37,2.8
Andrew Baker,62,3.7
David Hooker,62,5.2
Judith Foster,83,6.0
Jackie Moons,48,4.7
Howard Parham,60,4.4
Antonio Pelaez,44,3.4
Hazel Posey,21,3.1
Jean Tiscareno,28,4.3
Vincent Tucker,46,3.9
Ana Rodriguez,54,4.1
Bonnie Ramos,69,4.2
Stuart Stanford,53,4.0
Franklin Hawkins,79,4.9
Anne Scheer,50,4.4
Harold Ackerson,62,4.7
Kim Stallard,53,5.5
Darrell Xiong,52,4.6
Michael Diaz,78,4.1
Kimberly Bradford,36,3.7
Mark Lewis,66,4.1
Judith Mckay,50,5.2
Dawn Cummings,32,4.5
Judy Schwantes,53,4.0
Jane Larson,48,5.3
Gerald Wilson,50,4.7
Pamela Scott,42,4.2
Patrick Watson,59,3.6
Cynthia Sisk,80,5.3
Tammy Patterson,52,4.3
Mark Oconnor,85,4.5
Jennifer Phillips,52,3.8
Wendy Gunnell,27,2.4
Joseph Alfaro,47,4.6
William Barich,44,4.5
Jonathan Pearson,55,4.5
Ralph Cleveland,54,4.2
Leona Cohen,39,3.7
Sheryl Johnson,73,5.5
Ned Burke,84,4.2
Robin Schiffer,45,5.4
Donald Dunnings,51,4.6
Terri Motley,65,5.7
Dolores Reddy,41,3.9
Evan Smith,32,3.3
Suzanne Trosclair,64,6.4
Ann Polston,76,5.0
Sue Gorman,71,6.0
David Dunham,52,4.8
Karen Wagaman,80,4.6
Garth Zayas,87,7.0
Eric Acosta,79,5.4
Julie Watkins,34,3.9
Emma Fussell,38,2.8
Theresa White,67,5.1
Thelma Kabat,51,4.5
Tanya Freeman,51,5.7
Tracy Varley,62,4.8
Nathan Mewborn,73,5.2
George Lindsay,58,4.2
Renee Worley,61,3.9
William Sakkinen,53,3.8
William Austin,57,3.3
Wendy Freel,65,5.0
Joseph Rains,38,3.2
Katharine Kellum,40,4.6
Sheila Carboni,85,5.8
Steven Jackson,66,4.8
Edward Fields,48,4.5
Aimee Tamayo,41,3.9
Carl Caruthers,42,2.8
Shirley Wilson,39,4.9
Maryann Russell,70,5.8
Nancy Bassett,48,4.2
Anna Mascia,44,5.4
Richard Zayas,58,4.1
Ashley Mcray,57,4.8
Leona Martinez,46,4.4
Gary Hunter,69,5.5
Leann Widrick,63,5.3
David Lemke,67,4.5
Alan Harper,71,3.8
Tom Perez,63,4.2
Judith Lindsay,51,4.0
Joe Thomas,84,4.5
Eric Nunes,63,4.1
Louis Mckinzie,51,4.1
Samuel Low,68,3.8
Gregory Fernandez,45,4.0
Susan Cook,65,6.6
Sarah Mcbride,45,4.1
Betty Ellis,42,3.8
Sarah Adu,59,5.6
Michael Gore,32,3.1
Kristie Mccarthy,55,3.8
James Hughey,77,4.5
Dwight Zapata,48,4.8
Steven Hacker,45,3.5
Thomas Rabb,61,3.6
Dan Atchley,57,4.6
Joyce Jennings,61,4.9
Darron Allen,54,4.4
Quiana Rohrbach,32,3.8
Jerome Herring,51,4.6
William Gebhard,50,3.9
William Tang,52,4.7
Michael King,60,4.2
Jeffrey Korn,70,4.0
Edward Lee,71,5.2
Karolyn Hollingsworth,53,5.4
Robin Flores,62,5.4
Gladys Kennedy,47,5.4
Rosemary Pratt,73,6.0
Kevin Ibrahim,63,4.4
Collette Williams,67,4.1
Richard Lindenbaum,69,3.8
Daniel Cartwright,77,5.4
Tom Sastre,42,3.2
Bobby Labounty,56,4.9
Amanda Barker,51,5.1
Olivia Papp,80,5.4
Carmen Tenery,52,5.6
Steven Marriot,52,3.4
Kelly Greer,47,4.7
Walter Simmons,37,3.4
Sara Kochan,71,4.7
Larry Torres,47,3.9
Elizabeth Beasley,100,5.2
Charles Dearing,72,4.1
David Davis,42,3.8
Michael Gaccione,43,4.2
Maude Greco,56,3.9
Katharine Martinez,69,6.4
Ronald Niles,52,3.8
Ulrike Davidson,58,4.7
Marina Smith,26,2.5
Louis Christopher,57,3.8
Jennie Ferguson,69,5.2
Robert Beard,72,4.6
Jessica Salas,58,5.6
Vanessa Welch,44,3.9
Ann Cain,54,5.6
Nancy Sumler,59,4.2
Bette Williams,72,4.8
Ruth Bolduc,71,5.1
Jon Norris,76,3.6
Shelby Flores,64,4.3
Kimberly Vega,49,4.5
Joe Cooper,68,4.8
Donald Durbin,51,4.0
Bambi Dyer,41,3.8
Joshua Davis,47,3.9
Luis Lichty,47,3.2
Lynn Hovey,44,4.1
Gerald Brannon,63,4.1
Ivan King,42,3.5
Rebecca Hammond,54,5.0
John Lopez,44,3.2
George Howard,55,5.9
Anita Hill,45,4.6
Nancy Mabery,44,4.5
Arlene Calhoun,74,5.0
Lindsay Miller,64,5.8
Gloria Bradford,54,4.5
Thomas Whitehead,54,4.5
Catalina Brooks,37,3.0
Melissa Hughes,59,5.7
Mary Hahn,59,4.3
Henry Mcgowen,53,4.0
Stella Stephens,59,4.3
Monica Duggins,75,5.7
Scott Price,63,3.6
Tammi Aline,76,4.7
Lisa Watters,36,3.8
Annie Roeder,82,5.9
James Lydon,61,4.8
Robert Wallace,44,3.8
James Brooks,55,4.7
Marguerite Ramos,68,6.5
Donald Griffin,53,4.4
Andrew Bussell,51,4.0
Michael Dudas,55,3.9
Laurie Carter,43,4.3
Beatrice Aragon,53,6.8
Pansy Kelly,60,6.2
Lynda Stotts,74,5.8
Diana Bertran,66,4.1
Audrey Darby,46,5.7
Anastasia Starks,53,5.2
Charles Smith,49,3.6
Patricia Harrell,63,6.2
David Fisk,62,3.8
Stanley Denny,43,4.5
Adam Romero,42,3.2
Matthew Aucoin,54,3.9
Ira Mercer,56,4.3
Lorena Reed,28,3.9
Paula Barriere,29,3.0
Tina Spillman,62,4.1
Mary Kovac,54,3.8
Susan Cuevas,47,3.3
Noe Talbot,49,3.6
Sherri Turner,55,4.7
David Dupree,51,4.3
Sonya Porter,59,5.0
Thomas Ronzoni,51,3.9
Autumn Miller,45,3.8
Fred Jaeger,68,4.6
Ronald Coria,77,6.5
Todd Bernard,60,4.3
Frankie Malan,79,5.4
Pura Ross,81,5.6
Anna Cotman,82,5.0
Camille Rodrigue,51,4.8
Matthew Thompson,62,5.5
Bonnie Williams,92,5.8
Timothy Long,72,4.6
Haydee Kunkel,62,4.2
William Novoa,71,4.5
Joseph Agustin,71,5.1
Anthony Pedigo,78,4.8
Ann Pence,32,3.0
Jose Rogers,77,4.7
Mark Spicer,42,3.7
Sofia Williams,25,3.3
Shawn Frank,55,5.3
Robert Twitty,61,4.6
Jessica Martin,37,4.8
Edward Sullivan,51,3.8
Emily King,74,5.0
Heather Cunningham,63,4.6
Joseph Dean,96,6.4
Willie Nicholson,63,4.8
Anthony Latouche,43,3.4
Kermit Gates,38,2.8
Tosha Benson,92,5.2
Doris Sandiford,61,4.8
Troy Kittleson,63,3.9
Evan Ammons,54,3.9
Leon Patton,56,5.5
Frank Shaffer,81,5.6
Mindi Cruz,53,3.6
Caroline Atchison,40,3.8
Stacy Wickman,59,5.4
Morris Johnson,40,4.3
John Johnson,42,3.8
Emily Smith,81,4.8
Janet Hamer,38,4.4
Erica Maynard,42,4.7
Linda Michael,56,5.1
Helen Pince,53,4.3
Marcia York,44,4.5
Chanel Payne,73,5.0
Audrey Mcdonald,69,4.7
Jennie Blackwood,52,4.6
Micki Banks,55,4.9
Ashley Atkinson,39,3.6
Stephanie Yocum,48,4.1
Maggie Rugg,48,4.2
Eric Mitchell,52,4.4
Richard Laughlin,49,4.7
James Walker,54,4.7
Brandi Fisher,51,4.2
Angie Laskoski,64,6.4
Mary Trager,39,5.3
Richard Guercio,30,2.3
Sam Barnette,47,3.9
Christine Everhart,55,4.2
Monica Howington,58,5.9
Alyssa Mcgee,43,4.2
Amy Sieving,29,2.4
Joann Liesmann,60,5.2
Stanley Warren,48,4.1
Charles Herandez,58,6.3
Alfonzo Kellar,75,4.9
Lorraine Carter,59,6.0
Emilia Porat,40,3.4
Geneva Arnold,48,4.5
Maria Holscher,52,4.4
Terry Pulcher,62,4.6
Kathryn White,58,3.5
Thomas Simmons,94,4.8
Aletha Bonds,52,5.6
Gloria Gambrell,65,4.9
Rosemary Oliveros,60,3.9
Theresa Visvardis,29,3.2
Alfred Penn,88,5.7
Paul Hyder,95,4.4
Jose Wheeler,65,4.1
Carrie Robinson,28,3.9
David Padilla,55,3.6
Christopher Emmons,40,4.1
Raymond Stuart,80,5.0
Laura Hunter,61,3.8
Robert Morrison,80,6.8
Jimmy Jones,48,5.2
Aaron Shelly,48,3.9
Richard Harden,49,3.4
Shirley Ybanez,39,3.1
Darryl Ward,46,4.8
Charles Irizarry,63,3.5
Faye Schatz,52,4.1
Christine Cruson,60,4.7
James Cambron,67,6.0
Harold Kakos,71,5.4
Maribel Gates,46,4.8
Kathy Edwards,64,4.9
Norman Reed,60,5.6
Kristy Glass,76,4.6
Christopher Kilkenny,32,3.8
Gloria Ocasio,66,4.7
Eileen Parra,57,4.4
Bonnie Rodriguez,51,4.3
Paul Smith,63,4.1
Debra Fannin,65,5.9
Louise Romero,41,5.2
Terry Wingerd,51,3.6
Samantha Devore,35,3.5
Doris Bridgewater,48,5.7
Oscar Markow,40,4.0
Amanda Perez,61,5.3
Carmen Simcoe,59,5.6
Vivian Elliott,58,4.4
Brenda Kitchin,65,4.8
Irma Shedd,62,4.2
Charles Hopson,53,4.6
Jose Hines,69,4.2
Carla Mendoza,43,4.6
John Echols,81,5.7
Charles Suggs,59,5.6
Brian Young,58,3.8
Lorene Hall,55,5.3
Donna Duarte,52,5.1
William Gambino,80,3.6
Alexis Rosenberg,35,4.6
Susan Palmo,56,4.5
Nicole Obrien,77,6.1
Donald Chestnut,65,5.0
Greg Westerberg,72,4.0
Crystal Smith,52,5.1
Weldon Auston,52,3.4
Ma Smith,55,5.2
Kayla Lopez,45,5.5
Shannon Zamarripa,69,4.2
Rosa Redding,40,4.8
Julie Lopez,58,4.7
Viki Fraser,70,4.9
Richard Brasure,56,5.0
Dale Sylvain,63,4.7
Fannie Hindman,46,4.5
Duane Baisley,42,5.1
Andrew Butler,49,3.3
Flossie Streeter,23,3.4
Frank Moran,49,3.8
Ana Loredo,65,5.2
Andrew Bledsoe,68,4.2
Thomas Schweitzer,69,4.7
Travis Shoun,37,4.5
Norman Arnold,93,5.9
Heather Banks,44,3.5
Willie Neff,58,4.6
Marina Zeigler,59,4.1
Kimberly Moberg,77,4.7
Odette Carter,44,4.4
Sherri Todd,79,5.3
Carol Miller,60,4.4
Betty Buntin,53,5.3
Anna Larios,51,5.2
Antonio Evans,66,4.6
Lisa Forry,79,5.4
Rebecca Dalton,51,4.2
Kenneth Robertson,78,5.5
Lynne Rodgers,44,3.7
Sheron Luzar,41,3.6
Matthew Harris,55,4.5
Gerald Brunner,36,2.4
Chris Spitler,52,3.5
Edmond Lerner,80,5.7
Frances Johnson,29,4.7
Walter Ortiz,83,6.0
Marilyn Provino,80,6.1
Angela Cressey,68,7.0
Peter Perez,56,4.9
Michelle Gonzales,42,4.8
Marybeth Mazzone,76,5.5
David Lafave,51,4.7
Loretta Velez,96,5.0
Carolina White,76,4.6
Edward Lowman,81,5.4
Allison Tankersley,49,5.3
Richard Yoakum,38,3.5
Kimberly Ross,51,5.3
Michael Mederos,40,3.0
James Johnson,42,2.8
Phillip Powell,64,4.6
Barbara Otto,52,4.6
Jason Throneberry,47,3.1
Eileen Gray,51,5.4
Richard Garr,47,2.9
Teresa Yanez,47,5.6
Charles Vaughan,49,2.9
Ernestine Kizer,60,6.3
Michael Mcdonnell,49,3.8
Carmen Tyson,42,4.5
Robert Byrd,46,4.4
Clarence Querry,73,5.7
Lucy Thompson,47,4.2
Christopher Barnett,64,4.4
Victor Turner,48,4.6
James Deluca,80,5.4
Florencia Morrison,29,4.4
Lucille Stanphill,72,6.0
Nicole Osuna,41,5.4
Michael Hughes,55,4.3
Daniel Adams,57,5.7
Richard Young,62,4.2
Jeff Carlson,62,3.7
Robin Ahmed,45,3.9
Leon Shipley,78,5.5
Thomas Hochmuth,56,5.1
James Eury,54,4.5
Shane Polite,63,5.2
Mollie Vasquez,77,5.9
Raymond Wiggins,46,3.6
Tracy Fowler,67,5.0
Rodney Torres,55,3.4
Alan Roll,63,3.9
Diane Preister,52,3.8
Riley Cambell,55,5.2
Sharon Roberts,53,4.5
Kelly Bowar,33,3.8
Terry Davis,62,4.9
Roberta Fravel,62,3.6
Christopher Thornburg,48,4.8
Ella Russell,51,5.3
Kari Roth,46,5.0
Oliver Seldon,76,4.0
Karen Flye,47,4.0
Richard Stackhouse,40,3.9
Jonathan Moser,36,3.9
Rodney Guerrera,75,4.5
Julia Nicole,41,5.0
Shirley Damon,62,5.7
Irving Wheeler,59,4.9
Cheryl Patel,34,3.8
Elsa Hyman,52,4.9
Christina Cullins,35,3.1
Jody Pond,64,4.3
Ronald Mason,65,4.6
Deborah Ladner,41,3.7
Jeanette Carodine,69,5.9
Rachel Breland,53,4.6
Esther Riebe,52,3.5
Benjamin Finch,91,5.4
Alicia Ratliff,32,3.4
Jacqueline Mayrant,72,4.3
Patricia Briney,17,2.6
Logan Camp,47,4.5
Kimberly Routzahn,41,3.7
Marjorie Brown,38,3.6
Mary Levy,54,3.8
Aaron Oakden,46,4.6
Todd Price,62,5.0
Arlene Seymour,33,4.1
Linda Odonnell,39,5.1
Milton Chaput,56,3.9
Karen Hankinson,70,5.5
Eddie Strom,62,3.9
Valarie Trujillo,46,4.3
Richard Anderson,60,4.9
John Greenway,68,5.8
Eleanor Bond,60,6.6
Elizabeth Quintero,73,6.1
Linda Crowder,73,5.6
Morris Mcfaddin,67,5.4
Helen Alexander,51,4.1
Kelle Lanterman,41,3.2
Mark Wilson,81,4.2
Jose Dunagan,47,4.2
Gerald Gramham,45,2.3
Eric Baldwin,36,3.3
Laree Keene,37,4.1
Michael Cooney,78,5.5
Lavera Lowrie,64,5.8
Wayne Wilson,94,4.6
Donita Hill,36,3.8
Malcolm Sanzotta,42,3.9
Anna Johnson,42,4.5
Karl Dietrich,61,6.5
Tanya Macinnes,85,5.9
Maria Murphy,62,5.9
Robert Dickerson,44,3.5
Marion Murdy,49,6.2
Jennifer Koczera,48,3.8
Brent Sollenberger,49,4.2
Kathleen Taylor,44,4.7
Ashley Church,52,5.1
Nancy Mccormick,69,6.2
Lance Santana,61,3.3
Brandi Adams,61,3.5
Julia Hagan,66,5.1
Anthony Casey,44,4.2
Stephanie Jun,53,4.4
Travis Burkey,58,3.1
Maria Caballero,54,3.7
Anthony Murphy,58,4.5
Amanda Terrell,67,5.9
Kenneth Armendariz,58,3.7
Anna Lauterbach,46,5.2
Dana Mojica,39,3.2
Ronald Wilson,44,4.1
Wanda Russell,16,3.6
Steven Maness,51,5.6
Angela Atterberry,32,3.7
Larry Maldonado,90,4.6
Dennis Campbell,63,6.1
Russell Newlin,51,3.9
Virginia Griest,47,4.5
David Carnagey,72,4.6
Stephen Boers,71,4.6
Lessie Thompson,48,4.7
Wanda Hardin,87,5.6
Willie Gilbert,73,3.8
William Ng,43,4.5
Jeanine Diaz,97,5.7
Darryl Skinner,60,3.9
Joanna Gardner,52,4.8
Matthew Freeman,46,3.1
Kenneth Pyles,69,5.4
Amy Cook,37,4.7
Elizabeth Crain,81,6.2
Johnathan Bishop,35,2.8
Kathleen Hernandez,63,4.8
Joseph Sisk,87,6.0
Earnest Cole,73,5.9
Brian Langston,53,3.2
William Saska,54,2.8
Scott Rogers,62,5.4
Marvin Cooper,49,3.8
John Lambert,59,3.8
Carol Gamboa,56,4.9
Francisco Johnson,65,5.5
Larry Mclane,81,6.4
Patricia Mcninch,30,3.6
Roy Williams,80,4.8
Steven Kelly,81,4.9
Larry Dunn,51,3.6
Cheryl Kraus,41,4.9
Virginia Thompson,44,4.6
Marcus Mcfarland,63,4.8
Ayana Childs,49,3.9
Josephine Hall,64,4.5
Harvey Pribbenow,55,3.2
Michelle Smithson,40,3.8
Laura Cavanaugh,55,5.6
Sharon Matthews,83,5.2
Robert Miranda,54,4.9
Fannie Alvarez,69,4.1
Chris Chauncey,39,3.8
Edna Johnson,77,6.1
Natalie Turney,68,4.9
Jacqueline Mcneill,45,4.2
Joel Reed,61,5.0
Jennifer Tucker,59,4.7
Rosalia Arrants,22,2.4
Rodger Talavera,36,2.6
Deborah Clark,56,4.7
Jonathan Rochon,53,3.9
Sophia Bijou,58,4.7
Timothy Botello,76,5.5
Maureen Robins,73,5.2
Mikki Amaya,27,3.9
Shanna Braswell,65,5.2
Linda Mccormack,53,6.0
Anthony Kenny,70,5.6
Paul Ellis,51,3.0
Gaylene Hunt,63,4.5
Verda Perryman,53,4.2
Bernard Gilmore,70,4.8
Shannon Weaver,45,3.3
Audrey Shorey,62,5.0
Michele Montgomery,52,4.3
Dana Smith,37,3.6
Connie Shinn,36,4.7
Marx Loftis,68,3.9
Richard Pryor,80,5.2
Mary Nelson,44,4.3
Frances Archer,39,5.2
James King,81,6.8
Joseph Guerriero,55,4.8
Sara Ray,35,3.9
Julio Fuller,64,5.0
Betty Byrd,37,4.9
Mauricio Deering,51,4.8
Richard Roderick,59,4.5
Kenneth Webster,44,3.7
Janice Wells,45,4.7
Jerome Lopze,46,3.1
Kathy Castro,43,4.0
Claudio Millender,46,4.1
Joseph Mccoy,55,3.4
Melvin Mastrangelo,61,5.3
Damien Gomez,56,5.5
Clyde Gay,88,6.2
Sean Staples,63,4.8
Randy Werth,60,3.4
Mandy Bays,39,3.4
David Moss,68,5.4
Christian Marshall,61,3.9
Andreas Browder,50,3.8
Barbar Gonzalez,70,5.4
James Muir,64,3.8
Joseph Holsapple,54,4.0
Arlene Trotter,40,4.7
Darlene Parker,54,4.3
Paul Brownell,65,5.4
Sheila Friel,44,4.1
Robert Tarlton,44,3.7
Cathy Kuhl,45,4.2
Damon Mckee,84,4.1
Connie Workman,67,4.7
Maxine Walton,59,5.0
Alex Estimable,40,3.5
Edith Cervera,62,5.1
Randy Mccarthy,72,4.1
Isaiah Massey,84,5.7
Agatha Bergman,92,5.2
Concepcion Burkett,40,3.6
Frank Barrera,67,4.9
Leona Markow,39,3.8
Maxine Gulbranson,38,3.9
Sandra Pompey,70,5.2
Therese Dobbins,65,4.2
Andrew Duran,72,4.1
Jeane Budds,43,3.9
David Okeeffe,59,4.7
Richard Bacon,44,4.0
Judy Webb,47,5.1
Amy Hawes,52,6.0
